X,Y,V1,V2,V3,V4,V5,VMS Deposits
24,47,0,0,0,44,0,0
24,48,56,0,0,81,0,0
24,49,161,0,0,23,0,0
24,50,24,0,0,45,0,0
24,51,62,0,0,22,0,0
24,52,153,0,0,0,0,0
24,53,170,0,0,0,0,0
25,45,0,0,0,71,0,1
25,46,0,0,0,99,0,0
25,47,37,0,0,39,0,0
25,48,150,0,0,0,0,0
25,49,317,0,67,0,0,1
25,50,129,0,70,180,0,0
25,51,307,0,0,0,0,0
25,52,302,0,0,0,0,0
25,53,100,5,0,0,0,0
26,44,0,0,0,22,0,0
26,45,0,0,0,219,64,2
26,46,0,0,0,0,254,4
26,47,46,0,0,0,16,0
26,48,167,0,58,0,0,2
26,49,11,0,354,0,0,2
26,50,19,0,205,0,0,2
26,51,140,85,0,0,0,0
26,52,63,88,0,0,0,0
26,53,32,137,0,0,0,1
27,45,0,0,0,0,191,0
27,46,0,0,29,0,41,0
27,47,0,0,29,0,83,0
27,48,0,0,270,0,0,0
27,49,0,0,394,0,0,3
27,50,0,175,174,0,0,0
27,51,0,309,0,0,0,0
27,52,0,132,0,0,0,0
28,46,0,0,44,0,0,0
28,47,0,0,28,0,23,1
28,48,0,0,82,0,0,0
28,49,0,0,330,0,0,0
28,50,0,255,128,0,0,1
28,51,0,66,0,0,0,0
28,52,0,227,0,0,0,0
28,53,0,21,0,0,0,0
29,46,0,0,184,0,0,2
29,47,0,0,6,0,0,0
29,48,0,0,27,0,0,0
29,49,0,0,352,0,0,0
29,50,0,203,168,0,0,1
29,51,0,217,0,0,0,0
29,52,0,371,0,0,0,0
29,53,0,176,0,0,0,0
30,46,0,0,3,0,0,0
30,49,0,0,75,0,0,0
30,50,0,278,79,0,0,0
30,51,0,378,0,0,0,1
30,52,0,349,0,0,0,1
30,53,0,323,0,0,0,0
31,50,0,202,12,0,0,0
31,51,0,61,0,0,0,0
31,52,0,60,0,0,0,0
31,53,0,224,0,0,0,0
